Sample	LST
TCGA-24-1436	22
TCGA-24-1463	24
TCGA-24-1464	14
TCGA-24-1466	16
TCGA-24-1469	15
TCGA-24-1470	34
TCGA-24-1471	10
TCGA-24-1474	26
TCGA-24-1544	15
TCGA-24-1545	17
TCGA-24-1546	33
TCGA-24-1548	4
TCGA-24-1549	18
TCGA-24-1550	24
TCGA-24-1551	18
TCGA-24-1552	13
TCGA-24-1553	17
TCGA-24-1555	28
TCGA-24-1556	41
TCGA-24-1557	36
TCGA-24-1558	20
TCGA-24-1560	3
TCGA-24-1562	9
TCGA-24-1563	34
TCGA-24-1564	17
TCGA-24-1565	5
TCGA-24-1567	34
TCGA-24-1603	10
TCGA-24-1604	39
TCGA-24-1614	38
TCGA-24-1616	18
TCGA-24-1842	16
TCGA-24-1843	11
TCGA-24-1844	37
TCGA-24-1845	45
TCGA-24-1846	31
TCGA-24-1847	46
TCGA-24-1849	29
TCGA-24-1850	21
TCGA-24-1852	19
TCGA-24-1920	7
TCGA-24-1923	7
TCGA-24-1924	45
TCGA-24-1927	28
TCGA-24-1928	18
TCGA-24-1930	24
TCGA-24-2019	18
TCGA-24-2020	35
TCGA-24-2023	13
TCGA-24-2024	32
TCGA-24-2026	21
TCGA-24-2027	26
TCGA-24-2029	19
TCGA-24-2030	21
TCGA-24-2033	37
TCGA-24-2035	28
TCGA-24-2036	24
TCGA-24-2254	34
TCGA-24-2260	17
TCGA-24-2261	23
TCGA-24-2262	18
TCGA-24-2267	56
TCGA-24-2271	11
TCGA-24-2280	40
TCGA-24-2281	25
TCGA-24-2288	32
TCGA-24-2289	39
TCGA-24-2290	42
TCGA-24-2293	26
TCGA-24-2295	23
TCGA-24-2298	38
TCGA-25-1312	13
TCGA-25-1313	44
TCGA-25-1314	32
TCGA-25-1315	23
TCGA-25-1316	0
TCGA-25-1317	7
TCGA-25-1318	35
TCGA-25-1319	8
TCGA-25-1320	25
TCGA-25-1321	19
TCGA-25-1322	9
TCGA-25-1323	27
TCGA-25-1329	13
TCGA-25-1623	27
TCGA-25-1625	18
TCGA-25-1626	20
TCGA-25-1627	6
TCGA-25-1628	10
TCGA-25-1630	34
TCGA-25-1631	12
TCGA-25-1632	26
TCGA-25-1633	14
TCGA-25-1634	15
TCGA-25-1635	12
TCGA-25-1870	22
TCGA-25-1871	20
TCGA-25-1877	11
TCGA-25-1878	34
TCGA-25-2042	29
TCGA-25-2391	17
TCGA-25-2392	32
TCGA-25-2393	20
TCGA-25-2396	11
TCGA-25-2397	35
TCGA-25-2398	25
TCGA-25-2399	22
TCGA-25-2400	20
TCGA-25-2401	34
TCGA-25-2404	19
TCGA-25-2408	4
TCGA-25-2409	20
TCGA-29-1688	40
TCGA-29-1690	3
TCGA-29-1691	43
TCGA-29-1692	33
TCGA-29-1693	24
TCGA-29-1694	28
TCGA-29-1695	13
TCGA-29-1696	25
TCGA-29-1697	13
TCGA-29-1698	15
TCGA-29-1699	19
TCGA-29-1701	16
TCGA-29-1702	15
TCGA-29-1703	13
TCGA-29-1704	28
TCGA-29-1705	29
TCGA-29-1707	23
TCGA-29-1710	14
TCGA-29-1711	32
TCGA-29-1761	19
TCGA-29-1762	19
TCGA-29-1763	35
TCGA-29-1764	36
TCGA-29-1766	19
TCGA-29-1768	28
TCGA-29-1769	35
TCGA-29-1770	31
TCGA-29-1771	3
TCGA-29-1774	17
TCGA-29-1775	29
TCGA-29-1776	21
TCGA-29-1777	29
TCGA-29-1778	21
TCGA-29-1781	29
TCGA-29-1783	8
TCGA-29-1784	54
TCGA-29-1785	25
TCGA-29-2425	42
TCGA-29-2427	12
TCGA-29-2428	9
TCGA-29-2429	25
TCGA-29-2431	25
TCGA-29-2432	35
TCGA-29-2434	33
TCGA-29-2436	30
TCGA-29-A5NZ	18
TCGA-30-1714	16
TCGA-30-1718	33
TCGA-30-1853	9
TCGA-30-1855	30
TCGA-30-1857	34
TCGA-30-1859	17
TCGA-30-1860	49
TCGA-30-1861	41
TCGA-30-1862	24
TCGA-30-1866	18
TCGA-30-1867	27
TCGA-30-1880	3
TCGA-30-1887	18
TCGA-30-1891	30
TCGA-30-1892	30
TCGA-31-1944	33
TCGA-31-1946	30
TCGA-31-1950	20
TCGA-31-1951	18
TCGA-31-1953	20
TCGA-31-1955	21
TCGA-31-1956	18
TCGA-31-1959	22
TCGA-36-1568	38
TCGA-36-1569	32
TCGA-36-1570	28
TCGA-36-1571	11
TCGA-36-1574	24
TCGA-36-1575	11
TCGA-36-1576	25
TCGA-36-1577	38
TCGA-36-1578	48
TCGA-36-1580	16
TCGA-36-1581	23
TCGA-36-2529	30
TCGA-36-2530	48
TCGA-36-2532	28
TCGA-36-2533	37
TCGA-36-2534	32
TCGA-36-2537	33
TCGA-36-2539	34
TCGA-36-2540	15
TCGA-36-2542	32
TCGA-36-2543	41
TCGA-36-2544	43
TCGA-36-2545	24
TCGA-36-2547	34
TCGA-36-2548	31
TCGA-36-2549	48
TCGA-36-2551	20
TCGA-36-2552	28
TCGA-3P-A9WA	28
TCGA-42-2582	25
TCGA-42-2588	13
TCGA-42-2589	34
TCGA-42-2590	35
TCGA-42-2591	32
TCGA-42-2593	39
TCGA-57-1582	33
TCGA-57-1583	17
TCGA-57-1584	22
TCGA-57-1585	47
TCGA-57-1586	10
TCGA-57-1992	14
TCGA-57-1993	12
TCGA-57-1994	28
TCGA-59-2348	44
TCGA-59-2350	10
TCGA-59-2351	34
TCGA-59-2352	26
TCGA-59-2354	33
TCGA-59-2355	22
TCGA-59-2363	27
TCGA-59-2372	29
TCGA-59-A5PD	39
TCGA-5X-AA5U	15
TCGA-61-1722	27
TCGA-61-1724	32
TCGA-61-1725	26
TCGA-61-1727	33
TCGA-61-1728	17
TCGA-61-1730	10
TCGA-61-1733	7
TCGA-61-1734	28
TCGA-61-1736	10
TCGA-61-1737	37
TCGA-61-1738	14
TCGA-61-1740	40
TCGA-61-1741	21
TCGA-61-1743	23
TCGA-61-1895	33
TCGA-61-1899	14
TCGA-61-1900	39
TCGA-61-1901	23
TCGA-61-1903	28
TCGA-61-1904	19
TCGA-61-1906	17
TCGA-61-1907	43
TCGA-61-1910	32
TCGA-61-1911	24
TCGA-61-1913	27
TCGA-61-1914	41
TCGA-61-1915	37
TCGA-61-1917	43
TCGA-61-1918	17
TCGA-61-1919	28
TCGA-61-1995	3
TCGA-61-1998	22
TCGA-61-2000	15
TCGA-61-2002	35
TCGA-61-2003	32
TCGA-61-2008	44
TCGA-61-2009	21
TCGA-61-2012	27
TCGA-61-2016	20
TCGA-61-2017	1
TCGA-61-2018	41
TCGA-61-2087	30
TCGA-61-2088	8
TCGA-61-2092	2
TCGA-61-2094	14
TCGA-61-2095	8
TCGA-61-2096	28
TCGA-61-2097	27
TCGA-61-2101	23
TCGA-61-2102	26
TCGA-61-2104	35
TCGA-61-2109	31
TCGA-61-2110	6
TCGA-61-2111	29
TCGA-61-2113	30
TCGA-61-2612	18
TCGA-61-2613	18
TCGA-61-2614	20
TCGA-OY-A56P	8
TCGA-OY-A56Q	9
TCGA-VG-A8LO	28
TCGA-WR-A838	22
