Sample	LST
TCGA-Q1-A6DV	0
TCGA-Q1-A6DW	12
TCGA-Q1-A73O	2
TCGA-Q1-A73P	13
TCGA-Q1-A73Q	5
TCGA-Q1-A73R	3
TCGA-Q1-A73S	12
TCGA-R2-A69V	37
TCGA-RA-A741	10
TCGA-UC-A7PD	4
TCGA-UC-A7PF	6
TCGA-UC-A7PG	4
TCGA-UC-A7PI	2
TCGA-VS-A8EB	16
TCGA-VS-A8EC	14
TCGA-VS-A8EG	9
TCGA-VS-A8EH	12
TCGA-VS-A8EI	10
TCGA-VS-A8EJ	29
TCGA-VS-A8EK	35
TCGA-VS-A8EL	5
TCGA-VS-A8Q8	6
TCGA-VS-A8Q9	9
TCGA-VS-A8QA	15
TCGA-VS-A8QC	13
TCGA-VS-A8QF	14
TCGA-VS-A8QH	5
TCGA-VS-A8QM	9
TCGA-VS-A94W	10
TCGA-VS-A94X	10
TCGA-VS-A94Y	15
TCGA-VS-A94Z	6
TCGA-VS-A950	22
TCGA-VS-A952	6
TCGA-VS-A953	13
TCGA-VS-A954	8
TCGA-VS-A957	6
TCGA-VS-A958	4
TCGA-VS-A959	23
TCGA-VS-A9U5	26
TCGA-VS-A9U6	9
TCGA-VS-A9U7	14
TCGA-VS-A9UA	22
TCGA-VS-A9UB	12
TCGA-VS-A9UC	12
TCGA-VS-A9UD	15
TCGA-VS-A9UH	18
TCGA-VS-A9UI	9
TCGA-VS-A9UJ	0
TCGA-VS-A9UL	24
TCGA-VS-A9UM	9
TCGA-VS-A9UO	23
TCGA-VS-A9UP	20
TCGA-VS-A9UQ	11
TCGA-VS-A9UR	11
TCGA-VS-A9UT	17
TCGA-VS-A9UU	9
TCGA-VS-A9UV	6
TCGA-VS-A9UY	8
TCGA-VS-A9UZ	3
TCGA-VS-A9V0	15
TCGA-VS-A9V1	16
TCGA-VS-A9V2	15
TCGA-VS-A9V3	5
TCGA-VS-A9V4	19
TCGA-VS-A9V5	4
TCGA-VS-AA62	12
TCGA-WL-A834	16
TCGA-XS-A8TJ	7
TCGA-ZJ-A8QO	4
TCGA-ZJ-A8QQ	13
TCGA-ZJ-A8QR	13
TCGA-ZJ-AAX4	7
TCGA-ZJ-AAX8	7
TCGA-ZJ-AAXA	7
TCGA-ZJ-AAXB	14
TCGA-ZJ-AAXD	0
TCGA-ZJ-AAXF	7
TCGA-ZJ-AAXI	20
TCGA-ZJ-AAXJ	12
TCGA-ZJ-AAXN	6
TCGA-ZJ-AAXT	7
TCGA-ZJ-AAXU	5
TCGA-ZJ-AB0H	8
TCGA-ZJ-AB0I	27
TCGA-ZX-AA5X	14
