Sample	LST
TCGA-SI-A71Q	8
TCGA-SI-AA8B	23
TCGA-SI-AA8C	15
TCGA-UE-A6QU	22
TCGA-VT-A80G	27
TCGA-WK-A8XO	5
TCGA-WK-A8XQ	0
TCGA-WK-A8XS	17
TCGA-WK-A8XT	2
TCGA-WK-A8XX	16
TCGA-WK-A8XY	11
TCGA-WK-A8XZ	10
TCGA-WK-A8Y0	6
TCGA-WP-A9GB	26
TCGA-X2-A95T	12
TCGA-X6-A7W8	35
TCGA-X6-A7WA	6
TCGA-X6-A7WB	12
TCGA-X6-A7WC	25
TCGA-X6-A7WD	17
TCGA-X6-A8C2	21
TCGA-X6-A8C3	27
TCGA-X6-A8C4	32
TCGA-X6-A8C5	17
TCGA-X6-A8C6	24
TCGA-X6-A8C7	2
TCGA-X9-A971	12
TCGA-X9-A973	3
TCGA-Z4-A8JB	3
TCGA-Z4-A9VC	1
TCGA-Z4-AAPF	5
TCGA-Z4-AAPG	11
